 "ETL_DATE","BR_CODE","BR_NAME","REGION_CODE","REGION_NAME"
20180329,"330",TPBANK QUANG NINH,NOR,Miên Bắc
20180329,"008",TRUNG TAM BAN MIEN BAC 2,,
20180329,"241",TPBANK TAN BINH,SOU,Miền Nam
20180329,"204",TPBANK BEN THANH,SOU,Miền Nam
20180329,"200",TPBANK TP HO CHI MINH TONG HOP,,
20180329,"021",TPBANK LE NGOC HAN,NOR,Miên Bắc
20180329,"244",TT KINH DOANH HOI SO MIEN NAM,,
20180329,"216",TPBANK PHU MY HUNG 1,SOU,Miền Nam
20180329,"250",TPBANK HOC MON,SOU,Miền Nam
20180329,"026",TPBANK LINH DAM,NOR,Miên Bắc
20180329,"049",TRUNG TAM KINH DOANH MY DINH,,
20180329,"341",TRUNG TAM KINH DOANH THANH HOA,,
20180329,"511",TRUNG TAM KINH DOANH BAC NINH,,
20180329,"078",TRUNG TAM KINH DOANH HA THANH,,
20180329,"510",TPBANK BAC NINH,NOR,Miên Bắc
20180329,"919",TTGD TU DONG LIVEBANK HCM TPB HCM,,
20180329,"311",TRUNG TAM KINH DOANH NGHE AN,,
20180329,"024",TPBANK HA NOI 1,,
20180329,"208",TPBANK CUU LONG,SOU,Miền Nam
20180329,FO-CN-TTKDCTO03,Phòng Khách hàng Cá nhân,,
20180329,"380",TPBANK DAK LAK,SOU,Miền Nam
20180329,"040",TPBANK THANG LONG,NOR,Miên Bắc
20180329,"016",TPBANK TRUNG HOA NHAN CHINH,NOR,Miên Bắc
20180329,"270",TTKD BEN THANH,SOU,Miền Nam
20180329,"020",TPBANK DONG DA,NOR,Miên Bắc
20180329,"917",TTGD TU DONG LIVEBANK HCM SGN,,
20180329,"900",TTGD TU DONG LIVEBANK HN,,
20180329,"268",TRUNG TAM BAN MIEN NAM 5,,
20180329,"810",TPBANK KIEN GIANG,MOT,Miền Trung
20180329,"036",TRUNG TAM KINH DOANH DONG DA,,
20180329,"272",TPBANK THU DUC,MOT,Miền Trung
20180329,"905",TTGD TU DONG LIVEBANK THAI NGUYEN,,
20180329,"871",PHONG KD KHU VUC AN GIANG,,
20180329,"555",TPFICO,,
20180329,"009",TRUNG TAM KINH DOANH HOI SO CHINH,NOR,Miên Bắc
20180329,"207",TPBANK TAY SAI GON,SOU,Miền Nam
20180329,"002",TRUNG TAM BAN MIEN BAC 1,NOR,Miên Bắc
20180329,"012",TPBANK HA NOI,NOR,Miên Bắc
20180329,"025",TRUNG TAM KINH DOANH HOAN KIEM,NOR,Miên Bắc
20180329,"444",MUA BAN NO,,
20180329,"068",TPBANK TAY HA NOI,NOR,Miên Bắc
20180329,"041",TPBANK HOANG MAI,NOR,Miên Bắc
20180329,"240",TPBANK SAI GON,SOU,Miền Nam
20180329,HCM,NGAN HANG TPBANK TP HO CHI MINH,,
20180329,"000",NGAN HANG TMCP TIEN PHONG,NOR,Miên Bắc
20180329,"100",TPBANK HOAN KIEM TONG HOP,,
20180329,"391",TRUNG TAM KINH DOANH CAN THO,,
20180329,"096",KHOI BAN BUON,,
20180329,"350",TPBANK HAI PHONG,NOR,Miên Bắc
20180329,"014",TPBANK DONG DO,NOR,Miên Bắc
20180329,"099",KHOI NGUON VON,,
20180329,"201",TPBANK TP HO CHI MINH,SOU,Miền Nam
20180329,"392",TPBANK BAC CAN THO,SOU,Miền Nam
20180329,"063",TPBANK SON TAY,NOR,Miên Bắc
20180329,"372",TRUNG TAM KINH DOANH BAC DA NANG,,
20180329,"027",TRUNG TAM KINH DOANH TRANG AN,,
20180329,"223",TRUNG TAM KINH DOANH QUAN 3,,
20180329,"908",TTGD TU DONG LIVEBANK BAC NINH,,
20180329,"918",TTGD TU DONG LIVEBANK HCM BTH,,
20180329,"035",TRUNG TAM KINH DOANH THANH XUAN,,
20180329,"910",TTGD TU DONG LIVEBANK KHANH HOA,,
20180329,"916",TTGD TU DONG LIVEBANK HA NOI THN,,
20180329,"247",PHONG KINH DOANH KV QUAN 7,,
20180329,"098",TT DAU TU & NH LUU KY,,
20180329,"830",TPBANK DONG NAI,SOU,Miền Nam
20180329,"010",TPBANK HA NOI TONG HOP,,
20180329,"019",TPBANK BA DINH,NOR,Miên Bắc
20180329,"103",T.TAM K.D THUC HANH HAI BA TRUNG ,,
20180329,"310",TPBANK NGHE AN,NOR,Miên Bắc
20180329,"101",TPBANK HAI BA TRUNG,NOR,Miên Bắc
20180329,"260",TPBANK BINH CHANH,SOU,Miền Nam
20180329,"084",TRUNG TAM BAN MIEN NAM 4,,
20180329,"371",TPBANK BAC DA NANG,MOT,Miền Trung
20180329,"219",TRUNG TAM KINH DOANH CONG HOA,,
20180329,"313",TPBANK VINH,SOU,Miền Nam
20180329,"331",TRUNG TAM KINH DOANH QUANG NINH,,
20180329,"902",TTGD TU DONG LIVEBANK DN,,
20180329,"904",TTGD TU DONG LIVEBANK HAI PHONG,,
20180329,"274",TRUNG TAM KINH DOANH NAM SAI GON,,
20180329,"246",PHONG KINH DOANH KV TAN BINH,,
20180329,"911",TTGD TU DONG LIVEBANK NGHE AN,,
20180329,BO-CN-BCT050000,Phòng V?n hành,,
20180329,BO-CN-CLE050000,Phòng V?n hành,,
20180329,BO-CN-DNG050000,Phòng V?n hành,,
20180329,BO-CN-HMI050000,Phòng V?n hành,,
20180329,BO-CN-LBN050000,Phòng V?n hành,,
20180329,BO-CN-NTG050000,Phòng V?n hành,,
20180329,BO-CN-STY050000,Phòng V?n hành,,
20180329,BO-CN-THO050000,Phòng V?n hành,,
20180329,BO-CN-TTKDBTH04,Phòng V?n hành,,
20180329,BO-CN-TTKDHSO05,Phòng V?n hành,,
20180329,BO-CN-TTKDTHA01,Ban Giám d?c,,
20180329,BO-DT010100,B? ph?n H? tr? Giao d?ch,,
20180329,BO-HO-BKS010500,"Phòng Thanh tra và Gi?i quy?t Khi?u n?i, T? cáo",,
20180329,BO-HO-CL010000,Ban Giám d?c,,
20180329,BO-HO-HRBPPB,Phòng Ð?i tác Nhân s? phía B?c,,
20180329,BO-HO-KCN110100,B? ph?n D? án Chi?n lu?c và Phân tích Kinh doanh,,
20180329,BO-HO-KCN220100,M?ng Chi?n lu?c,,
20180329,BO-HO-KDN110000,Phòng S?n ph?m Tài tr? Thuong m?i,,
20180329,BO-HO-NNL010000,Ban Giám d?c,,
20180329,"203",TPBANK CONG HOA,SOU,Miền Nam
20180329,"086",TRUNG TAM BAN MIEN TRUNG,NOR,Miên Bắc
20180329,"206",TPBANK DO THANH 1,SOU,Miền Nam
20180329,"202",TPBANK NGUYEN OANH,SOU,Miền Nam
20180329,"093",TT KH DOANH NGHIEP LON MIEN NAM 2,,
20180329,"064",TPBANK HA DONG,NOR,Miên Bắc
20180329,"901",TTGD TU DONG LIVEBANK HCM,,
20180329,BO-HO-PDVNS,Phòng D?ch v? Nhân s?,,
20180329,BO-HO-QRR000000,Kh?i Qu?n tr? R?i ro,,
20180329,BO-HO-QRR060000,Phòng Qu?n tr? r?i ro v?n hành,,
20180329,BO-HO-TCH000000,Kh?i Tài chính,,
20180329,BO-HO-TDG000000,Kh?i Tín d?ng,,
20180329,BO-HO-TDG140000,Trung tâm Th?m d?nh Tài s?n B?o d?m,,
